,estu_tipodocumento,cole_area_ubicacion,cole_bilingue,cole_caracter,cole_depto_ubicacion,Region,cole_genero,cole_jornada,cole_naturaleza,estu_fechanacimiento,estu_genero,fami_cuartoshogar,fami_educacionmadre,fami_educacionpadre,fami_estratovivienda,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,desemp_ingles
142,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,TARDE,OFICIAL,2005 y 2006,M,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,No,Si,Si,Si,A-
143,CC,URBANO,N,TECNICO/ACADEMICO,Region Orinoquia,Region Orinoquia,MIXTO,MANANA,OFICIAL,2000-2005,F,Dos,Secundaria (Bachillerato) incompleta,No sabe,Estrato 2,3 a 4,No,Si,Si,No,A2
144,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,UNICA,OFICIAL,2005 y 2006,F,Seis o mas,Primaria completa,Primaria completa,Estrato 1,7 a 8,No,Si,Si,No,A-
145,TI,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,NOCHE,OFICIAL,2000-2005,F,Tres,Tecnica o tecnologica completa,Primaria incompleta,Estrato 2,5 a 6,No,Si,Si,Si,A-
146,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,2005 y 2006,F,Tres,Primaria completa,Primaria incompleta,Estrato 2,5 a 6,Si,Si,Si,Si,A1
147,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,SABATINA,OFICIAL,2000-2005,F,Dos,Secundaria (Bachillerato) incompleta,Primaria incompleta,Estrato 1,5 a 6,No,No,No,No,A-
148,TI,URBANO,N,TECNICO/ACADEMICO,Region Orinoquia,Region Orinoquia,MIXTO,UNICA,OFICIAL,>2006,F,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,5 a 6,Si,Si,Si,Si,A2
149,TI,URBANO,S,ACADEMICO,Region Pacifica,Region Pacifica,MIXTO,MANANA,OFICIAL,2005 y 2006,F,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,No,No,No,No,A-
150,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,COMPLETA,NO OFICIAL,2000-2005,M,Tres,Postgrado,Postgrado,Estrato 6,5 a 6,Si,Si,Si,Si,B+
151,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,2005 y 2006,M,Dos,Secundaria (Bachillerato) completa,No sabe,Estrato 2,3 a 4,No,No,No,Si,A-
152,TI,URBANO,N,ACADEMICO,Region Caribe,Region Caribe,MIXTO,MANANA,OFICIAL,2005 y 2006,F,Tres,Tecnica o tecnologica completa,Secundaria (Bachillerato) completa,Sin Estrato,3 a 4,No,Si,Si,Si,A-
153,CC,URBANO,N,TECNICO,Region Caribe,Region Caribe,MIXTO,TARDE,OFICIAL,2000-2005,M,Dos,Primaria incompleta,Ninguno,Estrato 1,3 a 4,No,No,Si,No,A-
154,Otros,URBANO,N,TECNICO/ACADEMICO,Region Pacifica,Region Pacifica,MIXTO,SABATINA,NO OFICIAL,2000-2005,M,Cuatro,Primaria incompleta,No sabe,Estrato 1,5 a 6,No,No,Si,No,A2
155,TI,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,UNICA,OFICIAL,>2006,F,Tres,Tecnica o tecnologica completa,Educacion profesional completa,Estrato 2,3 a 4,No,No,Si,Si,A1
156,CC,URBANO,N,ACADEMICO,Region Caribe,Region Caribe,MIXTO,MANANA,NO OFICIAL,2000-2005,M,Cuatro,Primaria completa,Primaria completa,Estrato 4,3 a 4,Si,No,Si,Si,A-
157,CC,URBANO,N,TECNICO/ACADEMICO,Region Caribe,Region Caribe,MIXTO,TARDE,OFICIAL,2000-2005,M,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,3 a 4,No,No,No,No,A-
158,TI,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,>2006,M,Cuatro,Primaria incompleta,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,No,Si,Si,Si,A1
159,TI,RURAL,N,ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,2005 y 2006,M,Cuatro,Primaria completa,Primaria completa,Estrato 4,5 a 6,No,No,No,Si,A-
160,TI,URBANO,N,TECNICO/ACADEMICO,Region Pacifica,Region Pacifica,MIXTO,MANANA,OFICIAL,>2006,F,Cuatro,Educacion profesional completa,Secundaria (Bachillerato) completa,Estrato 1,3 a 4,No,Si,Si,Si,A1
161,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,UNICA,NO OFICIAL,2000-2005,F,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,No,Si,Si,Si,A1
162,TI,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,>2006,M,Uno,Secundaria (Bachillerato) incompleta,Primaria incompleta,Estrato 1,3 a 4,No,No,No,No,A-
163,TI,URBANO,N,ACADEMICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2000-2005,M,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,No,No,Si,Si,A-
164,TI,URBANO,N,TECNICO/ACADEMICO,Region Pacifica,Region Pacifica,MIXTO,MANANA,OFICIAL,2005 y 2006,M,Cuatro,Educacion profesional completa,Educacion profesional completa,Estrato 1,3 a 4,No,Si,Si,Si,B1
165,TI,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,UNICA,OFICIAL,2005 y 2006,F,Cuatro,Primaria completa,Primaria incompleta,Estrato 2,5 a 6,Si,Si,Si,Si,A1
166,TI,RURAL,N,ACADEMICO,Region Andina,Region Andina,MIXTO,COMPLETA,OFICIAL,>2006,F,Dos,Secundaria (Bachillerato) incompleta,Primaria incompleta,Estrato 3,3 a 4,No,No,Si,Si,A2
167,TI,URBANO,N,ACADEMICO,Region Orinoquia,Region Orinoquia,MIXTO,COMPLETA,NO OFICIAL,2005 y 2006,M,Dos,Secundaria (Bachillerato) incompleta,Educacion profesional completa,Estrato 3,3 a 4,Si,Si,Si,Si,A2
168,CC,URBANO,N,TECNICO/ACADEMICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2000-2005,F,Dos,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 1,7 a 8,No,No,Si,Si,A-
169,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,NO OFICIAL,2005 y 2006,F,Cuatro,Secundaria (Bachillerato) incompleta,Tecnica o tecnologica completa,Estrato 2,3 a 4,No,Si,Si,Si,A2
170,TI,URBANO,N,ACADEMICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2005 y 2006,M,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Sin Estrato,5 a 6,Si,Si,Si,Si,A-
171,TI,URBANO,N,ACADEMICO,Region Pacifica,Region Pacifica,MIXTO,MANANA,OFICIAL,>2006,F,Cuatro,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,3 a 4,No,Si,Si,No,A-
172,CC,URBANO,N,TECNICO,Region Andina,Region Andina,MIXTO,SABATINA,OFICIAL,2000-2005,F,Cuatro,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 2,5 a 6,No,No,Si,No,A-
173,TI,URBANO,N,TECNICO/ACADEMICO,Region Orinoquia,Region Orinoquia,MIXTO,UNICA,OFICIAL,2005 y 2006,F,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,1 a 2,Si,Si,Si,Si,A2
174,TI,RURAL,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,SABATINA,OFICIAL,2005 y 2006,F,Dos,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,No,No,No,No,A-
175,TI,RURAL,N,TECNICO/ACADEMICO,Region Pacifica,Region Pacifica,MIXTO,MANANA,OFICIAL,2000-2005,F,Dos,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,No,No,No,No,A-
176,TI,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,COMPLETA,OFICIAL,2005 y 2006,M,Cinco,Educacion profesional completa,Educacion profesional completa,Estrato 2,5 a 6,No,Si,Si,Si,A1
177,TI,URBANO,N,TECNICO/ACADEMICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,>2006,F,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 1,3 a 4,No,No,Si,No,B1
178,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,2005 y 2006,F,Dos,No sabe,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,No,Si,Si,Si,B1
179,TI,URBANO,N,ACADEMICO,Region Caribe,Region Caribe,MIXTO,TARDE,OFICIAL,2000-2005,M,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,No,Si,Si,No,A-
180,TI,RURAL,N,ACADEMICO,Region Pacifica,Region Pacifica,MIXTO,MANANA,OFICIAL,>2006,F,Dos,Tecnica o tecnologica completa,Secundaria (Bachillerato) incompleta,Estrato 1,1 a 2,No,Si,Si,No,A1
181,TI,RURAL,N,ACADEMICO,Region Caribe,Region Caribe,MIXTO,MANANA,OFICIAL,>2006,F,Tres,Educacion profesional incompleta,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,Si,Si,Si,A1
182,TI,URBANO,N,ACADEMICO,Region Pacifica,Region Pacifica,MIXTO,MANANA,OFICIAL,2000-2005,F,Tres,Tecnica o tecnologica completa,Tecnica o tecnologica incompleta,Estrato 3,3 a 4,No,No,Si,Si,A2
183,TI,URBANO,N,TECNICO/ACADEMICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2005 y 2006,M,Dos,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,Si,No,Si,Si,A-
184,TI,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,2005 y 2006,M,Tres,Educacion profesional completa,Educacion profesional completa,Estrato 2,3 a 4,No,Si,Si,Si,A2
185,TI,URBANO,N,ACADEMICO,Region Caribe,Region Caribe,MIXTO,MANANA,NO OFICIAL,2000-2005,F,Dos,Secundaria (Bachillerato) completa,No sabe,Estrato 2,1 a 2,No,Si,Si,Si,A1
186,TI,RURAL,N,TECNICO/ACADEMICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2005 y 2006,F,Tres,Secundaria (Bachillerato) completa,Primaria completa,Estrato 1,5 a 6,Si,No,No,Si,A-
187,CC,RURAL,N,TECNICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2000-2005,F,Dos,Ninguno,Ninguno,Estrato 1,3 a 4,No,No,No,No,A-
188,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,2005 y 2006,M,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Sin Estrato,5 a 6,No,No,No,Si,A-
189,TI,URBANO,S,TECNICO/ACADEMICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2000-2005,M,Tres,Secundaria (Bachillerato) completa,Tecnica o tecnologica incompleta,Estrato 2,5 a 6,No,No,Si,Si,A-
190,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,2005 y 2006,F,Dos,Tecnica o tecnologica incompleta,Secundaria (Bachillerato) incompleta,Estrato 3,3 a 4,No,Si,Si,Si,A1
191,CC,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,SABATINA,NO OFICIAL,<2000,F,Dos,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,No,No,Si,Si,A-
192,CC,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,SABATINA,OFICIAL,2000-2005,F,Tres,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 2,3 a 4,No,No,No,Si,A2
193,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,COMPLETA,NO OFICIAL,2005 y 2006,M,Dos,Educacion profesional completa,Secundaria (Bachillerato) incompleta,Estrato 3,3 a 4,No,Si,Si,Si,A2
194,TI,URBANO,N,TECNICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2005 y 2006,F,Uno,Educacion profesional completa,Educacion profesional completa,Estrato 2,1 a 2,No,No,Si,Si,A1
195,TI,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,UNICA,OFICIAL,2005 y 2006,F,Cuatro,Primaria incompleta,Primaria incompleta,Estrato 3,3 a 4,No,Si,Si,Si,A1
196,TI,URBANO,N,TECNICO/ACADEMICO,Region Caribe,Region Caribe,MIXTO,MANANA,OFICIAL,2000-2005,M,Dos,Primaria incompleta,No sabe,Estrato 2,3 a 4,No,No,Si,No,A-
197,TI,URBANO,N,TECNICO/ACADEMICO,Region Pacifica,Region Pacifica,MIXTO,MANANA,OFICIAL,2005 y 2006,M,Cuatro,Educacion profesional completa,Educacion profesional completa,Estrato 4,7 a 8,Si,Si,Si,Si,A2
198,TI,URBANO,N,TECNICO/ACADEMICO,Region Orinoquia,Region Orinoquia,MIXTO,MANANA,OFICIAL,2005 y 2006,F,Dos,Educacion profesional incompleta,Primaria incompleta,Estrato 1,5 a 6,No,No,No,No,A1
199,TI,URBANO,N,TECNICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2005 y 2006,M,Cuatro,Educacion profesional completa,Tecnica o tecnologica completa,Estrato 4,5 a 6,No,No,Si,Si,A-
