periodo,Anio,var1,cole_depto_ubicacion,cole_cod_depto_ubicacion,cole_mcpio_ubicacion,cole_cod_mcpio_ubicacion,max_value,min_value,avg_value,
20102,2010,2,CAUCA,19,TIMBÃO,19807, , , ,
20102,2010,2,CALDAS,17,LA DORADA,17380, , , ,
20102,2010,2,CHOCO,27,TADÃ“,27787, , , ,
20102,2010,2,MAGDALENA,47,PLATO,47555, , , ,
20102,2010,2,BOYACA,15,GÃœICÃN DE LA SIERRA,15332, , , ,
20102,2010,2,CORDOBA,23,MOÃ‘ITOS,23500, , , ,
20102,2010,2,NARIÃ‘O,52,SAN ANDRÃ‰S DE TUMACO,52835, , , ,
20102,2010,2,SANTANDER,68,BARBOSA,68077, , , ,
20102,2010,2,TOLIMA,73,MELGAR,73449, , , ,
20102,2010,2,VALLE,76,ZARZAL,76895, , , ,
20102,2010,2,SANTANDER,68,PÃRAMO,68533, , , ,
20101,2010,1,VALLE,76,CANDELARIA,76130, , , ,
20102,2010,2,CUNDINAMARCA,25,CUCUNUBÃ,25224, , , ,
20102,2010,2,PUTUMAYO,86,SIBUNDOY,86749, , , ,
20102,2010,2,ANTIOQUIA,5,URRAO,5847, , , ,
20102,2010,2,GUAVIARE,95,EL RETORNO,95025, , , ,
20102,2010,2,HUILA,41,TESALIA,41797, , , ,
20101,2010,1,TOLIMA,73,SAN SEBASTIÃN DE MARIQUITA,73443, , , ,
20102,2010,2,CUNDINAMARCA,25,APULO,25599, , , ,
20102,2010,2,NARIÃ‘O,52,EL CHARCO,52250, , , ,
20102,2010,2,NORTE SANTANDER,54,HACARÃ,54344, , , ,
20102,2010,2,GUAVIARE,95,MIRAFLORES,95200, , , ,
20101,2010,1,TOLIMA,73,ESPINAL,73268, , , ,
20101,2010,1,CUNDINAMARCA,25,TOCAIMA,25815, , , ,
20102,2010,2,HUILA,41,ISNOS,41359, , , ,
20102,2010,2,HUILA,41,PITALITO,41551, , , ,
20102,2010,2,META,50,VILLAVICENCIO,50001, , , ,
20102,2010,2,CAUCA,19,PATÃA,19532, , , ,
20102,2010,2,CAUCA,19,BUENOS AIRES,19110, , , ,
20102,2010,2,ANTIOQUIA,5,FREDONIA,5282, , , ,
20102,2010,2,SANTANDER,68,GALÃN,68296, , , ,
20102,2010,2,CESAR,20,BECERRIL,20045, , , ,
20102,2010,2,ANTIOQUIA,5,GUADALUPE,5315, , , ,
20102,2010,2,NARIÃ‘O,52,SAN PABLO,52693, , , ,
20102,2010,2,CAUCA,19,INZÃ,19355, , , ,
20102,2010,2,VALLE,76,EL CAIRO,76246, , , ,
20101,2010,1,CESAR,20,AGUACHICA,20011, , , ,
20102,2010,2,SANTANDER,68,VILLANUEVA,68872, , , ,
20102,2010,2,BOYACA,15,SAN MATEO,15673, , , ,
20101,2010,1,BOLIVAR,13,SAN JACINTO,13654, , , ,
20102,2010,2,ANTIOQUIA,5,BELLO,5088, , , ,
20101,2010,1,SANTANDER,68,BUCARAMANGA,68001, , , ,
20102,2010,2,ANTIOQUIA,5,NECOCLÃ,5490, , , ,
20102,2010,2,PUTUMAYO,86,PUERTO CAICEDO,86569, , , ,
20102,2010,2,CUNDINAMARCA,25,LA CALERA,25377, , , ,
20102,2010,2,SUCRE,70,GALERAS,70235, , , ,
20102,2010,2,MAGDALENA,47,SANTA ANA,47707, , , ,
20102,2010,2,CAUCA,19,CALOTO,19142, , , ,
20102,2010,2,BOYACA,15,MIRAFLORES,15455, , , ,
20102,2010,2,ANTIOQUIA,5,TARSO,5792, , , ,
20102,2010,2,NARIÃ‘O,52,SAN PEDRO DE CARTAGO,52694, , , ,
20102,2010,2,ANTIOQUIA,5,SANTA ROSA DE OSOS,5686, , , ,
20101,2010,1,LA GUAJIRA,44,MAICAO,44430, , , ,
20102,2010,2,LA GUAJIRA,44,EL MOLINO,44110, , , ,
20102,2010,2,BOYACA,15,CHISCAS,15180, , , ,
20102,2010,2,CAUCA,19,PURACÃ‰,19585, , , ,
20102,2010,2,ANTIOQUIA,5,NARIÃ‘O,5483, , , ,
20102,2010,2,NARIÃ‘O,52,GUALMATÃN,52323, , , ,
20102,2010,2,CUNDINAMARCA,25,UBAQUE,25841, , , ,
20102,2010,2,BOYACA,15,CORRALES,15215, , , ,
20102,2010,2,ANTIOQUIA,5,MURINDÃ“,5475, , , ,
20102,2010,2,AMAZONAS,91,PUERTO SANTANDER,91669, , , ,
20102,2010,2,AMAZONAS,91,TARAPACÃ,91798, , , ,
20102,2010,2,NORTE SANTANDER,54,CÃšCUTA,54001, , , ,
20102,2010,2,QUINDIO,63,CIRCASIA,63190, , , ,
20102,2010,2,CUNDINAMARCA,25,ZIPAQUIRÃ,25899, , , ,
20102,2010,2,RISARALDA,66,MISTRATÃ“,66456, , , ,
20102,2010,2,CAQUETA,18,PUERTO RICO,18592, , , ,
20102,2010,2,META,50,URIBE,50370, , , ,
20102,2010,2,CAUCA,19,VILLA RICA,19845, , , ,
20102,2010,2,ATLANTICO,8,PALMAR DE VARELA,8520, , , ,
20102,2010,2,NORTE SANTANDER,54,EL TARRA,54250, , , ,
20101,2010,1,CUNDINAMARCA,25,CHÃA,25175, , , ,
20102,2010,2,NARIÃ‘O,52,ANCUYÃ,52036, , , ,
20102,2010,2,CAUCA,19,SAN SEBASTIÃN,19693, , , ,
20102,2010,2,BOYACA,15,CHÃQUIZA,15232, , , ,
20102,2010,2,ANTIOQUIA,5,MACEO,5425, , , ,
20102,2010,2,CHOCO,27,CÃ‰RTEGUI,27160, , , ,
