ID;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_depto_ubicacion;cole_genero;cole_jornada;cole_naturaleza;estu_genero;estu_nacionalidad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;desemp_ingles;Respuesta
9534;TI;URBANO;;Region Andina;MIXTO;SABATINA;NO OFICIAL;F;COLOMBIA;Dos;Primaria completa;Primaria completa;Estrato 1;3 a 4;No;Si;No;Si;A1;punt_matematicas
9535;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;No sabe;Secundaria (Bachillerato) incompleta;Estrato 3;1 a 2;Si;Si;Si;Si;A-;punt_ingles
9536;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Tres;Educacion profesional completa;Secundaria (Bachillerato) completa;Estrato 2;3 a 4;No;Si;Si;Si;A2;punt_c_naturales
9537;CC;URBANO;;;MIXTO;NOCHE;NO OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;3 a 4;Si;Si;Si;Si;A-;punt_ingles
9538;TI;URBANO;;Region Andina;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 3;3 a 4;No;No;Si;Si;A2;punt_c_naturales
9539;Otros;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Cuatro;Primaria incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;5 a 6;No;No;No;Si;A1;punt_matematicas
9540;TI;URBANO;;Region Andina;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;3 a 4;Si;Si;Si;Si;A-;punt_ingles
9541;TI;RURAL;S;Region Pacifica;MIXTO;COMPLETA;OFICIAL;M;COLOMBIA;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;5 a 6;No;No;;Si;;punt_sociales_ciudadanas
9542;TI;RURAL;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Primaria completa;Secundaria (Bachillerato) completa;Estrato 1;5 a 6;No;No;No;Si;A-;punt_sociales_ciudadanas
9543;TI;URBANO;N;;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Tres;Tecnica o tecnologica completa;No sabe;Estrato 2;3 a 4;No;Si;Si;Si;A2;punt_sociales_ciudadanas
9544;CC;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Cinco;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;3 a 4;No;No;No;Si;A-;punt_ingles
9545;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 2;5 a 6;No;Si;Si;Si;A-;punt_sociales_ciudadanas
9546;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Dos;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Estrato 2;3 a 4;Si;Si;Si;Si;A-;punt_sociales_ciudadanas
9547;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 2;3 a 4;No;Si;Si;Si;B1;punt_sociales_ciudadanas
9548;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;M;COLOMBIA;;;;;;;;;;A2;punt_sociales_ciudadanas
9549;CC;URBANO;;Region Andina;MIXTO;MANANA;NO OFICIAL;M;COLOMBIA;Tres;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Estrato 4;3 a 4;;Si;Si;Si;A-;punt_matematicas
9550;TI;URBANO;N;Region Andina;MIXTO;COMPLETA;NO OFICIAL;F;COLOMBIA;;Educacion profesional completa;Secundaria (Bachillerato) completa;Estrato 3;;;;Si;;B1;punt_c_naturales
9551;TI;RURAL;N;Region Pacifica;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Cinco;Ninguno;Ninguno;Estrato 1;7 a 8;No;No;No;No;A-;punt_sociales_ciudadanas
9552;TI;URBANO;N;Region Andina;MIXTO;COMPLETA;NO OFICIAL;F;COLOMBIA;Tres;No sabe;No sabe;Estrato 2;5 a 6;Si;Si;Si;Si;A2;punt_sociales_ciudadanas
9553;TI;URBANO;N;Region Caribe;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;Tres;Educacion profesional completa;Educacion profesional completa;Estrato 4;3 a 4;Si;Si;Si;Si;B1;punt_sociales_ciudadanas
9554;TI;URBANO;N;Region Caribe;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;3 a 4;Si;Si;Si;Si;B+;punt_sociales_ciudadanas
9555;TI;RURAL;;Region Caribe;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Primaria completa;Primaria incompleta;Estrato 1;7 a 8;No;No;No;No;;punt_lectura_critica
9556;TI;RURAL;N;Region Caribe;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;5 a 6;No;No;No;Si;A1;punt_sociales_ciudadanas
9557;TI;URBANO;;Region Andina;MIXTO;SABATINA;NO OFICIAL;M;COLOMBIA;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 3;5 a 6;No;Si;Si;Si;A-;punt_c_naturales
9558;TI;URBANO;N;;MIXTO;TARDE;OFICIAL;M;COLOMBIA;Cuatro;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 3;3 a 4;No;No;Si;Si;A-;punt_ingles
9559;TI;URBANO;;;MIXTO;COMPLETA;NO OFICIAL;F;COLOMBIA;Tres;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Estrato 3;3 a 4;No;Si;Si;Si;A1;punt_sociales_ciudadanas
