ID;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_depto_ubicacion;cole_genero;cole_jornada;cole_naturaleza;estu_genero;estu_nacionalidad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;desemp_ingles;Respuesta
1;TI;URBANO;S;Region Pacifica;MIXTO;MANANA;NO OFICIAL;M;COLOMBIA;Tres;Educacion profesional completa;Tecnica o tecnologica incompleta;Estrato 3;3 a 4;Si;No;Si;Si;B1;punt_sociales_ciudadanas
2;TI;URBANO;N;Region Pacifica;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Cinco;Educacion profesional completa;Secundaria (Bachillerato) completa;Estrato 2;7 a 8;Si;Si;Si;Si;A-;punt_c_naturales
3;TI;URBANO;N;;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Cuatro;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 2;5 a 6;Si;Si;Si;Si;A-;punt_c_naturales
4;CC;URBANO;N;Region Andina;MIXTO;SABATINA;OFICIAL;F;COLOMBIA;Uno;Primaria incompleta;Primaria completa;Estrato 1;3 a 4;No;No;No;No;A-;punt_c_naturales
5;TI;RURAL;N;Region Pacifica;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Primaria incompleta;Ninguno;Estrato 1;7 a 8;No;No;No;Si;A-;punt_sociales_ciudadanas
6;TI;URBANO;N;Region Pacifica;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;5 a 6;No;No;Si;Si;A-;punt_ingles
7;TI;URBANO;N;;FEMENINO;COMPLETA;NO OFICIAL;F;COLOMBIA;Tres;Educacion profesional completa;Secundaria (Bachillerato) incompleta;Estrato 2;3 a 4;No;Si;Si;Si;A1;punt_sociales_ciudadanas
8;TI;URBANO;N;Region Caribe;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Tres;Tecnica o tecnologica completa;Educacion profesional completa;Estrato 2;5 a 6;No;Si;Si;Si;A2;punt_matematicas
9;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Tecnica o tecnologica completa;Estrato 3;3 a 4;No;No;Si;Si;A2;punt_c_naturales
10;TI;URBANO;N;;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Dos;Educacion profesional completa;Secundaria (Bachillerato) completa;Estrato 2;5 a 6;Si;Si;Si;Si;B1;punt_c_naturales
11;TI;URBANO;;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Tres;Primaria completa;Secundaria (Bachillerato) completa;Estrato 1;5 a 6;No;Si;Si;Si;A-;punt_ingles
12;TI;URBANO;N;Region Pacifica;MIXTO;TARDE;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 2;3 a 4;No;Si;Si;No;A1;punt_sociales_ciudadanas
13;TI;URBANO;;Region Andina;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Dos;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;Estrato 2;1 a 2;No;Si;Si;No;A1;punt_ingles
14;TI;URBANO;N;;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;;;;;;;;;;A2;punt_c_naturales
15;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;;Primaria incompleta;Primaria incompleta;Estrato 1;;;;Si;;A2;punt_lectura_critica
16;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 2;5 a 6;No;No;Si;Si;A1;punt_ingles
17;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Seis o mas;Secundaria (Bachillerato) completa;;Estrato 2;7 a 8;No;Si;Si;Si;A1;punt_ingles
18;TI;URBANO;N;Region Pacifica;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Cuatro;Postgrado;Educacion profesional completa;Estrato 1;5 a 6;No;Si;Si;Si;A-;punt_c_naturales
19;TI;URBANO;N;Region Andina;MIXTO;COMPLETA;NO OFICIAL;F;VENEZUELA;Tres;Tecnica o tecnologica completa;Educacion profesional completa;Sin Estrato;3 a 4;Si;Si;Si;Si;B1;punt_sociales_ciudadanas
20;TI;URBANO;N;Region Andina;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Tecnica o tecnologica completa;Estrato 3;3 a 4;No;Si;Si;No;A-;punt_c_naturales
21;TI;RURAL;;Region Caribe;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;5 a 6;No;No;No;Si;A-;punt_ingles
22;TI;RURAL;;Region Pacifica;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;3 a 4;No;No;No;No;A-;punt_matematicas
23;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Primaria completa;Primaria completa;Estrato 2;5 a 6;No;No;No;No;A1;punt_matematicas
24;TI;URBANO;N;Region Pacifica;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Cinco;Primaria incompleta;Primaria incompleta;Estrato 1;7 a 8;No;Si;Si;Si;A2;punt_ingles
25;CC;URBANO;N;Region Andina;MIXTO;SABATINA;OFICIAL;F;COLOMBIA;Dos;;;;5 a 6;No;No;;Si;A-;punt_sociales_ciudadanas
26;Otros;URBANO;S;;MIXTO;SABATINA;NO OFICIAL;F;VENEZUELA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 2;1 a 2;No;Si;Si;Si;A-;punt_c_naturales
27;TI;RURAL;;Region Caribe;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Dos;Ninguno;Ninguno;Estrato 1;3 a 4;No;No;No;Si;A1;punt_sociales_ciudadanas
28;TI;URBANO;N;Region Caribe;MIXTO;NOCHE;NO OFICIAL;F;COLOMBIA;Tres;Primaria incompleta;Primaria incompleta;Sin Estrato;5 a 6;No;No;No;Si;A-;punt_c_naturales
29;TI;URBANO;;Region Andina;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Tres;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Estrato 2;5 a 6;Si;Si;Si;Si;A1;punt_matematicas
30;CC;URBANO;N;Region Andina;MIXTO;SABATINA;OFICIAL;F;COLOMBIA;Cuatro;Primaria completa;Primaria incompleta;Estrato 2;3 a 4;No;No;Si;Si;A-;punt_ingles
31;TI;RURAL;N;Region Caribe;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 3;7 a 8;No;No;No;No;A-;punt_sociales_ciudadanas
32;TI;URBANO;N;Region Orinoquia;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Tres;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;Estrato 3;3 a 4;No;Si;Si;Si;A2;punt_lectura_critica
33;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Educacion profesional completa;Tecnica o tecnologica completa;Estrato 3;3 a 4;Si;Si;No;No;A1;punt_sociales_ciudadanas
34;CC;RURAL;;Region Andina;MIXTO;COMPLETA;NO OFICIAL;F;COLOMBIA;Dos;Primaria incompleta;Ninguno;Estrato 3;3 a 4;No;No;Si;No;A-;punt_sociales_ciudadanas
35;TI;URBANO;N;Region Caribe;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 3;7 a 8;No;No;Si;Si;A-;punt_lectura_critica
36;TI;URBANO;N;;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;No sabe;Estrato 2;5 a 6;No;Si;Si;Si;A1;punt_c_naturales
37;TI;URBANO;;;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;No sabe;Estrato 3;3 a 4;No;Si;Si;Si;A1;punt_c_naturales
38;TI;URBANO;N;Region Andina;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Tres;Educacion profesional completa;Educacion profesional completa;Estrato 4;3 a 4;Si;Si;Si;Si;A2;punt_sociales_ciudadanas
39;TI;RURAL;S;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Primaria completa;Primaria completa;Estrato 1;5 a 6;No;Si;Si;No;A1;punt_matematicas
40;TI;URBANO;N;Region Caribe;MIXTO;NOCHE;OFICIAL;M;COLOMBIA;Uno;Primaria incompleta;Educacion profesional completa;Estrato 1;1 a 2;No;Si;Si;Si;A-;punt_sociales_ciudadanas
41;TI;URBANO;N;Region Amazonia;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;3 a 4;No;No;Si;No;A1;punt_c_naturales
42;TI;URBANO;;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;3 a 4;No;No;No;No;A1;punt_c_naturales
43;TI;URBANO;N;Region Andina;MIXTO;MANANA;NO OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;3 a 4;No;No;Si;Si;A1;punt_c_naturales
44;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Tecnica o tecnologica completa;Secundaria (Bachillerato) incompleta;Estrato 2;3 a 4;No;No;Si;Si;A1;punt_c_naturales
45;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Cuatro;Primaria incompleta;Primaria completa;Estrato 3;3 a 4;No;No;Si;No;A1;punt_c_naturales
46;TI;RURAL;N;Region Pacifica;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Dos;Primaria completa;Secundaria (Bachillerato) completa;Estrato 2;3 a 4;No;No;No;Si;A-;punt_sociales_ciudadanas
47;TI;URBANO;N;Region Pacifica;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Educacion profesional completa;No sabe;Estrato 2;3 a 4;Si;Si;Si;Si;A2;punt_sociales_ciudadanas
48;TI;URBANO;;Region Caribe;MIXTO;NOCHE;OFICIAL;M;COLOMBIA;Cinco;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 1;5 a 6;Si;Si;Si;Si;A1;punt_c_naturales
49;TI;RURAL;N;Region Andina;MIXTO;COMPLETA;OFICIAL;M;COLOMBIA;Uno;Primaria incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;3 a 4;No;No;No;No;A1;punt_ingles
50;TI;URBANO;N;;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 2;5 a 6;No;No;Si;No;A2;punt_lectura_critica
51;CC;URBANO;N;Region Andina;MIXTO;SABATINA;OFICIAL;F;COLOMBIA;Uno;Primaria completa;Ninguno;Estrato 1;3 a 4;No;No;No;No;A-;punt_ingles
52;TI;URBANO;N;;FEMENINO;COMPLETA;NO OFICIAL;F;COLOMBIA;Dos;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Estrato 3;5 a 6;No;Si;Si;Si;A1;punt_ingles
53;TI;URBANO;S;Region Amazonia;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;No sabe;No sabe;Sin Estrato;3 a 4;No;Si;Si;Si;B1;punt_sociales_ciudadanas
54;TI;URBANO;N;Region Caribe;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;;5 a 6;No;Si;Si;Si;A-;punt_sociales_ciudadanas
55;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Dos;Primaria completa;Primaria incompleta;Estrato 1;7 a 8;No;No;No;No;A-;punt_c_naturales
56;TI;URBANO;N;Region Caribe;MIXTO;NOCHE;NO OFICIAL;M;COLOMBIA;Tres;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Estrato 1;5 a 6;No;No;Si;Si;A-;punt_matematicas
57;TI;URBANO;N;Region Andina;MIXTO;COMPLETA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;3 a 4;No;Si;No;Si;A1;punt_ingles
58;TI;URBANO;S;Region Andina;MIXTO;COMPLETA;OFICIAL;F;COLOMBIA;Cuatro;Secundaria (Bachillerato) incompleta;No sabe;Estrato 1;5 a 6;No;No;Si;No;A-;punt_sociales_ciudadanas
59;TI;URBANO;N;;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;3 a 4;No;Si;Si;No;A1;punt_c_naturales
60;TI;URBANO;N;Region Caribe;MIXTO;NOCHE;OFICIAL;F;COLOMBIA;Dos;Primaria incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;5 a 6;Si;Si;Si;Si;A2;punt_c_naturales
61;TI;URBANO;N;;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;Uno;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;1 a 2;No;No;No;Si;A2;punt_lectura_critica
62;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Uno;Secundaria (Bachillerato) incompleta;;Estrato 1;3 a 4;No;No;Si;No;A1;punt_ingles
63;TI;URBANO;;;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;7 a 8;No;No;No;No;A-;punt_ingles
64;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;No sabe;Estrato 1;5 a 6;No;No;Si;Si;A1;punt_ingles
65;TI;URBANO;;Region Andina;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Cinco;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;7 a 8;No;No;Si;Si;A-;punt_ingles
66;TI;RURAL;N;Region Andina;MIXTO;COMPLETA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;3 a 4;No;Si;No;No;A1;punt_ingles
67;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Tecnica o tecnologica completa;Estrato 2;5 a 6;Si;No;Si;Si;A-;punt_ingles
68;TI;RURAL;;Region Andina;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Uno;Secundaria (Bachillerato) incompleta;Primaria incompleta;Sin Estrato;1 a 2;No;No;No;No;A-;punt_lectura_critica
69;TI;URBANO;N;Region Pacifica;MIXTO;MANANA;OFICIAL;F;COLOMBIA;;;;;;;;;;A-;punt_ingles
70;CC;URBANO;;Region Caribe;MIXTO;TARDE;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Ninguno;Estrato 2;7 a 8;No;Si;;Si;A-;punt_ingles
71;TI;URBANO;N;;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Tres;Educacion profesional incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;3 a 4;No;Si;Si;Si;A2;punt_lectura_critica
72;CC;RURAL;N;Region Orinoquia;MIXTO;SABATINA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Tecnica o tecnologica completa;Estrato 1;7 a 8;No;No;;No;A-;punt_ingles
73;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 2;5 a 6;No;No;No;Si;A-;punt_ingles
74;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;5 a 6;No;No;Si;Si;A-;punt_c_naturales
75;CC;URBANO;N;Region Andina;MIXTO;SABATINA;OFICIAL;M;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 3;5 a 6;No;No;Si;Si;A-;punt_matematicas
76;TI;URBANO;N;;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;No sabe;Estrato 2;1 a 2;No;No;No;Si;A2;punt_c_naturales
77;TI;URBANO;N;;FEMENINO;MANANA;OFICIAL;F;COLOMBIA;;;;;;;;;;A-;punt_matematicas
78;CC;RURAL;N;Region Caribe;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Tres;Ninguno;Primaria incompleta;Estrato 1;3 a 4;Si;No;No;No;A-;punt_lectura_critica
79;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 1;3 a 4;No;Si;Si;Si;A1;punt_matematicas
80;TI;RURAL;N;Region Caribe;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Uno;Tecnica o tecnologica completa;Educacion profesional completa;Estrato 1;1 a 2;No;No;Si;Si;A-;punt_ingles
81;CC;URBANO;;Region Orinoquia;MIXTO;MANANA;NO OFICIAL;F;COLOMBIA;Cuatro;Educacion profesional incompleta;Secundaria (Bachillerato) completa;Estrato 5;3 a 4;Si;Si;Si;Si;A-;punt_ingles
82;TI;URBANO;N;;FEMENINO;COMPLETA;NO OFICIAL;F;COLOMBIA;Dos;Educacion profesional incompleta;Educacion profesional completa;Estrato 4;1 a 2;Si;Si;Si;Si;B1;punt_c_naturales
83;TI;URBANO;N;Region Caribe;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Primaria completa;Estrato 1;3 a 4;Si;Si;Si;Si;A-;punt_ingles
84;CC;URBANO;;Region Caribe;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 2;5 a 6;No;No;No;Si;A-;punt_c_naturales
85;TI;RURAL;;Region Andina;MIXTO;COMPLETA;OFICIAL;M;COLOMBIA;Dos;Tecnica o tecnologica completa;Primaria completa;Sin Estrato;3 a 4;No;Si;Si;Si;A-;punt_ingles
86;Otros;URBANO;N;;MIXTO;UNICA;OFICIAL;F;VENEZUELA;;Educacion profesional completa;Educacion profesional completa;Estrato 1;5 a 6;No;No;No;No;A-;punt_ingles
87;TI;RURAL;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 5;1 a 2;Si;Si;Si;Si;A-;punt_sociales_ciudadanas
88;TI;RURAL;S;Region Pacifica;MIXTO;COMPLETA;OFICIAL;F;COLOMBIA;Cinco;Primaria incompleta;Primaria completa;Sin Estrato;5 a 6;No;No;No;No;A-;punt_sociales_ciudadanas
89;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Cuatro;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;Estrato 3;5 a 6;Si;Si;Si;Si;B1;punt_sociales_ciudadanas
90;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;Estrato 1;5 a 6;Si;Si;Si;Si;A-;punt_sociales_ciudadanas
91;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Dos;;;;3 a 4;No;No;;Si;A-;punt_sociales_ciudadanas
92;TI;RURAL;N;Region Andina;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;5 a 6;Si;No;No;No;A-;punt_sociales_ciudadanas
93;TI;URBANO;N;;MIXTO;COMPLETA;NO OFICIAL;F;COLOMBIA;Cinco;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 2;5 a 6;Si;Si;Si;Si;A1;punt_ingles
94;TI;URBANO;N;;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;Tres;Postgrado;Postgrado;Estrato 3;3 a 4;Si;Si;Si;Si;B+;punt_sociales_ciudadanas
95;TI;URBANO;N;Region Orinoquia;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) completa;No sabe;Estrato 1;5 a 6;No;Si;Si;Si;A-;punt_ingles
96;Otros;URBANO;;;MIXTO;UNICA;OFICIAL;M;VENEZUELA;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;3 a 4;No;No;No;No;A-;punt_sociales_ciudadanas
97;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 2;3 a 4;Si;Si;Si;Si;A-;punt_sociales_ciudadanas
98;TI;URBANO;N;Region Caribe;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Cuatro;;;;5 a 6;Si;Si;;Si;A-;punt_sociales_ciudadanas
99;TI;URBANO;N;Region Caribe;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;3 a 4;No;No;No;Si;A-;punt_sociales_ciudadanas
100;CC;URBANO;N;Region Pacifica;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;1 a 2;No;No;No;Si;A2;punt_matematicas
101;TI;URBANO;N;Region Caribe;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 1;3 a 4;No;No;Si;No;A-;punt_sociales_ciudadanas
102;Otros;URBANO;N;Region Caribe;MIXTO;MANANA;OFICIAL;F;VENEZUELA;Uno;Secundaria (Bachillerato) completa;No sabe;Estrato 2;3 a 4;No;No;Si;Si;A-;punt_sociales_ciudadanas
103;TI;RURAL;;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 2;5 a 6;No;No;No;Si;A1;punt_sociales_ciudadanas
104;TI;URBANO;N;Region Andina;FEMENINO;MANANA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Tecnica o tecnologica completa;Estrato 2;3 a 4;Si;Si;Si;Si;A2;punt_matematicas
105;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Primaria completa;Primaria completa;Estrato 1;5 a 6;No;No;No;No;A1;punt_sociales_ciudadanas
106;TI;URBANO;N;Region Caribe;MIXTO;TARDE;OFICIAL;F;COLOMBIA;;;;;;;;;;A1;punt_sociales_ciudadanas
107;CC;URBANO;N;Region Caribe;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Seis o mas;Secundaria (Bachillerato) completa;Ninguno;Estrato 3;5 a 6;No;Si;Si;Si;A1;punt_matematicas
108;TI;URBANO;;;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Postgrado;Estrato 4;3 a 4;Si;Si;Si;Si;B1;punt_c_naturales
109;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;No sabe;Estrato 3;3 a 4;No;Si;Si;No;B1;punt_sociales_ciudadanas
110;TI;URBANO;N;;MIXTO;TARDE;NO OFICIAL;F;VENEZUELA;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;3 a 4;No;No;Si;Si;A1;punt_matematicas
111;TI;URBANO;N;Region Andina;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) completa;No sabe;Estrato 1;5 a 6;No;No;Si;No;A1;punt_sociales_ciudadanas
112;TI;URBANO;N;;MIXTO;COMPLETA;NO OFICIAL;F;COLOMBIA;Tres;No sabe;No sabe;Estrato 2;3 a 4;No;Si;Si;Si;A2;punt_sociales_ciudadanas
113;TI;URBANO;N;Region Caribe;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;Uno;Tecnica o tecnologica completa;Tecnica o tecnologica completa;Estrato 2;3 a 4;Si;No;Si;Si;A2;punt_lectura_critica
114;TI;URBANO;;;MIXTO;MANANA;NO OFICIAL;M;COLOMBIA;Dos;Primaria completa;Secundaria (Bachillerato) incompleta;Estrato 2;3 a 4;No;No;No;No;A1;punt_lectura_critica
115;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Cuatro;No sabe;Secundaria (Bachillerato) incompleta;Estrato 2;5 a 6;No;No;Si;Si;A1;punt_matematicas
116;TI;RURAL;;Region Andina;MIXTO;COMPLETA;OFICIAL;F;COLOMBIA;;Primaria incompleta;Primaria incompleta;Estrato 1;;;;Si;;A1;punt_c_naturales
117;TI;URBANO;N;Region Orinoquia;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;Estrato 2;3 a 4;No;No;Si;Si;A1;punt_lectura_critica
118;TI;RURAL;;Region Caribe;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Dos;Ninguno;Ninguno;Estrato 1;5 a 6;No;No;No;No;A-;punt_ingles
119;CC;URBANO;N;Region Andina;MIXTO;COMPLETA;OFICIAL;F;COLOMBIA;Dos;Primaria completa;Primaria completa;Estrato 1;5 a 6;No;No;Si;Si;A-;punt_sociales_ciudadanas
120;TI;URBANO;N;;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 2;5 a 6;No;Si;Si;Si;A-;punt_ingles
121;CC;URBANO;N;Region Caribe;FEMENINO;UNICA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Tecnica o tecnologica completa;Estrato 2;3 a 4;No;No;Si;Si;A-;punt_ingles
122;TI;URBANO;N;Region Caribe;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Cuatro;Secundaria (Bachillerato) incompleta;Tecnica o tecnologica completa;Estrato 1;7 a 8;No;No;Si;Si;A1;punt_sociales_ciudadanas
123;CC;URBANO;N;;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Uno;No sabe;No sabe;Estrato 2;1 a 2;No;No;No;No;A-;punt_ingles
124;TI;RURAL;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Cuatro;Tecnica o tecnologica completa;Primaria completa;Estrato 1;3 a 4;No;Si;Si;Si;A2;punt_ingles
125;TI;URBANO;N;;MASCULINO;UNICA;OFICIAL;M;COLOMBIA;Tres;Tecnica o tecnologica completa;Secundaria (Bachillerato) incompleta;Estrato 1;3 a 4;No;Si;Si;Si;A1;punt_ingles
126;TI;RURAL;N;Region Andina;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;3 a 4;No;Si;Si;Si;A1;punt_sociales_ciudadanas
127;TI;URBANO;;Region Caribe;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;3 a 4;No;No;No;No;A-;punt_ingles
128;Otros;URBANO;N;Region Caribe;MIXTO;NOCHE;OFICIAL;F;VENEZUELA;;;;;;;;;;A-;punt_sociales_ciudadanas
