cole_depto_ubicacion;periodo;average_column;Anio;Prueba
HUILA;20142;247.99118;2014;2
SANTANDER;20191;378.6018519;2019;1
QUINDIO;20161;361.1052632;2016;1
LA GUAJIRA;20191;328.4594595;2019;1
SUCRE;20211;172;2021;1
BOLIVAR;20194;227.4032182;2019;4
NARIÃ‘O;20142;248.4326253;2014;2
ATLANTICO;20151;304.8811881;2015;1
MAGDALENA;20152;226.2334846;2015;2
VAUPES;20142;224.4622642;2014;2
RISARALDA;20161;347.7659574;2016;1
SANTANDER;20151;253.301444;2015;1
VICHADA;20194;225.2997988;2019;4
NARIÃ‘O;20201;280.063786;2020;1
CAUCA;20194;228.0799456;2019;4
SANTANDER;20211;333.6397516;2021;1
NORTE SANTANDER;20211;225.3484848;2021;1
MAGDALENA;20191;331.6923077;2019;1
ARAUCA;20211;238;2021;1
PUTUMAYO;20194;236.7275204;2019;4
GUAVIARE;20152;232.6202805;2015;2
RISARALDA;20191;337.3925926;2019;1
SAN ANDRES;20194;230.4;2019;4
SANTANDER;20224;267.0477817;2022;4
NORTE SANTANDER;20224;259.6733881;2022;4
BOGOTA;20152;268.8632477;2015;2
BOGOTA;20171;349.5486166;2017;1
BOYACA;20194;261.7869391;2019;4
QUINDIO;20142;250.8045019;2014;2
ANTIOQUIA;20171;332.1624266;2017;1
SANTANDER;20161;386.2635659;2016;1
NARIÃ‘O;20181;293.9466231;2018;1
CESAR;20224;242.4184899;2022;4
SANTANDER;20172;267.8786651;2017;2
ARAUCA;20152;247.2858576;2015;2
CAQUETA;20152;239.4681011;2015;2
VALLE;20172;250.8989524;2017;2
LA GUAJIRA;20201;303.7804878;2020;1
CUNDINAMARCA;20151;294.2237586;2015;1
CHOCO;20162;219.9879004;2016;2
CAUCA;20191;307.858864;2019;1
BOYACA;20224;268.4719789;2022;4
CAQUETA;20224;241.7494924;2022;4
ANTIOQUIA;20172;252.3856058;2017;2
CUNDINAMARCA;20162;265.3743119;2016;2
TOLIMA;20172;249.807872;2017;2
RISARALDA;20151;271.600551;2015;1
CESAR;20201;234.547619;2020;1
VAUPES;20152;219.6385224;2015;2
RISARALDA;20211;305.1409091;2021;1
ATLANTICO;20224;245.1621309;2022;4
TOLIMA;20162;252.145557;2016;2
CESAR;20162;248.9443343;2016;2
VALLE;20152;244.0070936;2015;2
NARIÃ‘O;20172;255.82224;2017;2
CALDAS;20172;254.5796854;2017;2
ATLANTICO;20211;322.7804154;2021;1
BOYACA;20211;235.2769231;2021;1
CAQUETA;20211;233.3125;2021;1
NARIÃ‘O;20224;248.067355;2022;4
GUAVIARE;20224;228.8102955;2022;4
